UnitCode;Price;Currency
HPL42R0505C011;25280.64;EUR
HPL42R0505C100;24987.80;EUR
HPL42R0505C101;25201.74;EUR
HPL42R0505C110;25660.06;EUR
HPL42R0505C111;25874.00;EUR
HPL42L47050000;22306.33;EUR
HPL42L47050001;22520.27;EUR
HPL42L47050010;22978.59;EUR
HPL42L47050011;23192.53;EUR
HPL42L47050100;22867.79;EUR
HPL42L47050101;23081.73;EUR
HPL42L47050110;23540.05;EUR
HPL42L47050111;23753.99;EUR
HPL42L4705C000;24429.12;EUR
HPL42L4705C001;24643.06;EUR
HPL42L4705C010;25101.38;EUR
HPL42L4705C011;25315.32;EUR
HPL42L4705C100;25022.48;EUR
HPL42L4705C101;25236.42;EUR
HPL42L4705C110;25694.74;EUR
HPL42L4705C111;25908.68;EUR
HPL42L49050000;22305.91;EUR
HPL42L49050001;22519.85;EUR
HPL42L49050010;22978.17;EUR
HPL42L49050011;23192.11;EUR
HPL42L49050100;22867.37;EUR
HPL42L49050101;23081.31;EUR
HPL42L49050110;23539.63;EUR
HPL42L49050111;23753.57;EUR
HPL42L4905C000;24428.70;EUR
HPL42L4905C001;24642.64;EUR
HPL42L4905C010;25100.96;EUR
HPL42L4905C011;25314.90;EUR
HPL42L4905C100;25022.06;EUR
HPL42L4905C101;25236.00;EUR
HPL42L4905C110;25694.32;EUR
HPL42L4905C111;25908.26;EUR
HPL42L05050000;22271.65;EUR
HPL42L05050001;22485.59;EUR
HPL42L05050010;22943.91;EUR
HPL42L05050011;23157.85;EUR
HPL42L05050100;22833.11;EUR
HPL42L05050101;23047.05;EUR
HPL42L05050110;23505.37;EUR
HPL42L05050111;23719.31;EUR
HPL42L0505C000;24394.44;EUR
HPL42L0505C001;24608.38;EUR
HPL42L0505C010;25066.70;EUR
HPL42L0505C011;25280.64;EUR
HPL42L0505C100;24987.80;EUR
HPL42L0505C101;25201.74;EUR
HPL42L0505C110;25660.06;EUR
HPL42L0505C111;25874.00;EUR
HPL53R47050000;27998.70;EUR
HPL53R47050001;28212.64;EUR
HPL53R47050010;28761.22;EUR
HPL53R47050011;28975.16;EUR
HPL53R47050100;28560.16;EUR
HPL53R47050101;28774.10;EUR
HPL53R47050110;29322.68;EUR
HPL53R47050111;29536.62;EUR
HPL53R4705C000;30341.95;EUR
HPL53R4705C001;30555.89;EUR
HPL53R4705C010;31104.48;EUR
HPL53R4705C011;31318.42;EUR
HPL53R4705C100;30989.28;EUR
HPL53R4705C101;31203.22;EUR
HPL53R4705C110;31751.81;EUR
HPL53R4705C111;31965.75;EUR
HPL53R49050000;27998.28;EUR
HPL53R49050001;28212.22;EUR
HPL53R49050010;28760.80;EUR
HPL53R49050011;28974.74;EUR
HPL53R49050100;28559.74;EUR
HPL53R49050101;28773.68;EUR
HPL53R49050110;29322.26;EUR
HPL53R49050111;29536.20;EUR
HPL53R4905C000;30341.53;EUR
HPL53R4905C001;30555.47;EUR
HPL53R4905C010;31104.06;EUR
HPL53R4905C011;31318.00;EUR
HPL53R4905C100;30988.86;EUR
HPL53R4905C101;31202.80;EUR
HPL53R4905C110;31751.39;EUR
HPL53R4905C111;31965.33;EUR
